date,unit_sales
2013-01-01,2511.619
2013-01-02,496092.418
2013-01-03,361429.231
2013-01-04,354459.677
2013-01-05,477350.121
2013-01-06,519695.401
2013-01-07,336122.801
2013-01-08,318347.778
2013-01-09,302530.809
2013-01-10,258982.003
2013-01-11,289737.685
2013-01-12,403257.212
2013-01-13,464638.548
2013-01-14,293328.362
2013-01-15,298969.55
2013-01-16,318347.914
2013-01-17,267498.516
2013-01-18,296130.85
2013-01-19,432459.852
2013-01-20,461092.386
2013-01-21,311211.266
2013-01-22,296214.729
2013-01-23,283258.453
2013-01-24,247245.691
2013-01-25,290022.772
2013-01-26,413799.768
2013-01-27,430411.991
2013-01-28,285460.17
2013-01-29,264488.818
2013-01-30,281061.127
2013-01-31,271254.218
2013-02-01,369402.055
2013-02-02,518887.463
2013-02-03,486336.82
2013-02-04,344308.715
2013-02-05,321245.839
2013-02-06,321538.177
2013-02-07,290807.531
2013-02-08,347441.79
2013-02-09,416176.279
2013-02-10,300951.329
2013-02-11,278627.589
2013-02-12,308800.791
2013-02-13,319597.93
2013-02-14,308164.017
2013-02-15,320168.884
2013-02-16,485660.494
2013-02-17,399588.91
2013-02-18,350745.573
2013-02-19,293637.802
2013-02-20,313803.162
2013-02-21,267711.109
2013-02-22,285679.869
2013-02-23,412897.349
2013-02-24,452726.126
2013-02-25,307110.876
2013-02-26,270425.007
2013-02-27,288401.999
2013-02-28,278116.292
2013-03-01,378898.165
2013-03-02,547857.205
2013-03-03,559820.58
2013-03-04,383647.679
2013-03-05,332189.993
2013-03-06,335726.581
2013-03-07,293099.527
2013-03-08,316600.68
2013-03-09,453259.497
2013-03-10,461859.756
2013-03-11,318379.133
2013-03-12,271823.378
2013-03-13,287869.664
2013-03-14,247541.42
2013-03-15,315878.09
2013-03-16,482233.434
2013-03-17,513439.585
2013-03-18,330283.803
2013-03-19,294020.246
2013-03-20,321207.007
2013-03-21,269130.128
2013-03-22,304100.454
2013-03-23,453192.003
2013-03-24,449794.637
2013-03-25,317559.61
2013-03-26,275818.236
2013-03-27,313691.149
2013-03-28,339293.269
2013-03-29,345513.132
2013-03-30,452661.356
2013-03-31,462107.64
2013-04-01,428816.448
2013-04-02,377732.828
2013-04-03,373731.076
2013-04-04,308738.386
2013-04-05,336394.782
2013-04-06,509424.214
2013-04-07,519048.377
2013-04-08,346649.816
2013-04-09,306335.802
2013-04-10,312846.375
2013-04-11,303222.413
2013-04-12,314394.967
2013-04-13,453442.497
2013-04-14,478417.149
2013-04-15,338712.458
2013-04-16,333431.88
2013-04-17,334990.519
2013-04-18,281923.51
2013-04-19,311588.705
2013-04-20,459884.838
2013-04-21,485721.032
2013-04-22,328886.321
2013-04-23,302097.833
2013-04-24,310555.185
2013-04-25,268790.619
2013-04-26,304413.557
2013-04-27,446665.338
2013-04-28,477623.473
2013-04-29,328795.874
2013-04-30,310186.467
2013-05-01,507974.637
2013-05-02,348709.46
2013-05-03,374290.251
2013-05-04,520339.516
2013-05-05,580268.551
2013-05-06,369869.383
2013-05-07,317292.964
2013-05-08,332477.411
2013-05-09,305868.057
2013-05-10,335937.442
2013-05-11,512090.581
2013-05-12,387860.505
2013-05-13,350598.062
2013-05-14,308469.313
2013-05-15,329113.56
2013-05-16,307556.947
2013-05-17,330004.242
2013-05-18,480969.559
2013-05-19,518153.554
2013-05-20,341787.215
2013-05-21,307178.4
2013-05-22,301785.483
2013-05-23,289261.058
2013-05-24,398389.242
2013-05-25,417930.142
2013-05-26,450631.4
2013-05-27,321630.831
2013-05-28,307329.168
2013-05-29,309332.381
2013-05-30,304344.85
2013-05-31,330257.842
2013-06-01,566901.815
2013-06-02,637698.495
2013-06-03,426332.098
2013-06-04,369705.16
2013-06-05,361791.081
2013-06-06,317495.766
2013-06-07,357673.088
2013-06-08,466292.699
2013-06-09,526804.73
2013-06-10,349754.292
2013-06-11,283858.216
2013-06-12,320173.578
2013-06-13,282886.92
2013-06-14,326956.742
2013-06-15,505949.667
2013-06-16,435894.083
2013-06-17,370944.271
2013-06-18,320885.34
2013-06-19,319235.258
2013-06-20,293877.944
2013-06-21,319722.687
2013-06-22,446347.312
2013-06-23,504964.845
2013-06-24,336625.964
2013-06-25,305119.53
2013-06-26,301847.249
2013-06-27,266525.459
2013-06-28,324210.972
2013-06-29,509379.108
2013-06-30,533481.693
2013-07-01,441758.388
2013-07-02,390958.384
2013-07-03,374551.918
2013-07-04,327020.179
2013-07-05,351401.5
2013-07-06,479514.494
